,AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,clusters,cluster
12449,171,1,30,0,171,1,red
12450,56,0,23,0,56,0,yellow
12451,32,0,32,0,27,0,yellow
12452,19,1,12,1,19,0,yellow
12453,58,1,28,1,58,0,yellow
12454,49,0,26,0,49,0,yellow
12455,53,1,31,7,53,0,yellow
12456,25,1,3,1,25,0,yellow
12457,51,1,30,0,51,0,yellow
12458,38,1,38,1,12,0,yellow
12459,73,3,18,2,73,0,yellow
12460,52,1,27,3,52,0,yellow
12461,30,1,30,3,29,0,yellow
12462,101,2,27,9,101,0,yellow
12463,36,1,36,0,26,0,yellow
12464,43,1,42,1,43,0,yellow
12465,52,1,16,0,52,0,yellow
12466,61,1,24,8,61,0,yellow
12467,45,1,45,4,34,0,yellow
12468,34,1,33,0,34,0,yellow
12469,175,10,17,13,175,1,red
12470,100,2,72,1,100,1,red
12471,70,1,28,0,70,0,yellow
12472,58,2,14,1,58,0,yellow
12473,35,0,35,1,24,0,yellow
12474,151,0,30,0,151,1,red
12475,98,4,31,11,98,0,yellow
12476,59,1,28,1,59,0,yellow
12477,57,1,44,4,57,0,yellow
12478,500,1,41,1,490,2,black
12479,82,3,5,10,82,0,yellow
12480,229,3,132,0,229,1,red
12481,123,1,26,0,123,1,red
12482,41,1,40,0,41,0,yellow
12483,52,1,29,0,52,0,yellow
12484,44,1,44,1,44,0,yellow
12485,60,1,41,0,60,0,yellow
12486,36,1,17,0,36,0,yellow
12487,49,1,40,0,49,0,yellow
12488,47,1,30,3,47,0,yellow
12489,120,4,1,8,120,1,red
12490,54,1,8,4,54,0,yellow
12491,57,2,0,5,57,0,yellow
12492,42,1,34,3,42,0,yellow
12493,55,1,13,4,55,0,yellow
12494,500,1,48,1,500,2,black
12495,34,0,30,1,34,0,yellow
12496,155,0,33,0,155,1,red
12497,71,1,19,0,71,0,yellow
12498,86,2,35,2,86,0,yellow
12499,51,1,43,0,51,0,yellow
12500,164,4,164,8,141,1,red
12501,33,1,33,2,26,0,yellow
12502,62,1,29,8,62,0,yellow
12503,30,1,8,2,30,0,yellow
12504,61,2,33,3,61,0,yellow
12505,40,1,40,1,25,0,yellow
12506,40,1,24,4,40,0,yellow
12507,45,1,31,8,45,0,yellow
12508,62,1,37,1,62,0,yellow
12509,47,1,25,8,47,0,yellow
12510,165,1,41,0,165,1,red
12511,38,1,38,2,34,0,yellow
12512,34,1,34,1,21,0,yellow
12513,35,0,16,0,35,0,yellow
12514,52,1,52,4,50,0,yellow
12515,36,1,36,0,36,0,yellow
12516,102,1,31,2,102,0,yellow
12517,156,1,28,0,156,1,red
12518,42,0,28,0,42,0,yellow
12519,62,1,37,0,62,0,yellow
12520,76,2,20,1,76,0,yellow
12521,177,2,100,0,177,1,red
12522,37,1,37,2,17,0,yellow
12523,323,1,47,0,319,2,black
12524,185,4,185,1,157,1,red
12525,31,1,31,3,26,0,yellow
12526,43,1,18,0,43,0,yellow
12527,127,1,100,2,127,1,red
12528,27,0,27,1,23,0,yellow
12529,63,1,18,7,63,0,yellow
12530,39,1,16,3,39,0,yellow
12531,58,1,19,6,58,0,yellow
12532,28,1,28,2,24,0,yellow
12533,32,1,3,0,32,0,yellow
12534,39,1,34,0,39,0,yellow
12535,59,2,38,0,59,0,yellow
12536,52,1,24,3,52,0,yellow
12537,99,1,21,5,99,0,yellow
12538,61,2,22,20,61,0,yellow
12539,98,1,35,2,98,0,yellow
12540,20,0,20,0,17,0,yellow
12541,46,1,26,3,46,0,yellow
12542,53,1,29,3,53,0,yellow
12543,38,0,34,1,38,0,yellow
12544,39,1,29,3,39,0,yellow
12545,52,1,25,1,52,0,yellow
12546,25,1,25,1,18,0,yellow
12547,53,1,24,0,53,0,yellow
12548,80,1,29,1,80,0,yellow
12549,60,1,19,15,60,0,yellow
12550,37,0,34,1,37,0,yellow
12551,158,1,39,0,158,1,red
12552,22,0,13,0,22,0,yellow
12553,63,1,23,1,63,0,yellow
12554,41,1,41,0,26,0,yellow
12555,184,3,135,2,184,1,red
12556,35,0,35,0,26,0,yellow
12557,159,1,39,0,159,1,red
12558,71,1,42,0,71,0,yellow
12559,65,1,31,3,65,0,yellow
12560,76,1,46,0,76,0,yellow
12561,29,1,29,2,20,0,yellow
12562,37,1,21,7,37,0,yellow
12563,37,1,37,0,28,0,yellow
12564,153,4,4,20,153,1,red
12565,54,1,33,3,54,0,yellow
12566,35,1,35,0,10,0,yellow
12567,27,0,25,0,27,0,yellow
12568,63,1,20,3,63,0,yellow
12569,124,2,28,10,124,1,red
12570,39,1,10,2,39,0,yellow
12571,209,67,209,2,157,1,red
12572,163,1,43,0,163,1,red
12573,35,0,35,0,32,0,yellow
12574,69,2,6,0,69,0,yellow
12575,95,1,26,0,95,0,yellow
12576,29,1,29,0,9,0,yellow
12577,48,1,27,4,48,0,yellow
12578,53,1,33,9,53,0,yellow
12579,21,0,11,1,21,0,yellow
12580,143,3,35,16,143,1,red
12581,35,0,34,0,35,0,yellow
12582,26,1,26,0,11,0,yellow
12583,39,1,39,2,22,0,yellow
12584,98,1,25,0,98,0,yellow
12585,73,2,4,6,73,0,yellow
12586,51,1,26,3,51,0,yellow
12587,160,7,72,19,160,1,red
12588,54,1,37,1,54,0,yellow
12589,53,1,25,0,53,0,yellow
12590,54,1,24,3,54,0,yellow
12591,22,0,22,0,9,0,yellow
12592,86,1,49,0,86,0,yellow
12593,352,2,107,1,335,2,black
12594,74,1,37,4,74,0,yellow
12595,39,1,39,2,19,0,yellow
12596,49,1,33,0,49,0,yellow
12597,150,4,4,16,150,1,red
12598,66,1,9,4,66,0,yellow
12599,54,1,20,2,54,0,yellow
12600,137,1,72,0,137,1,red
12601,185,2,70,0,185,1,red
12602,45,1,38,0,45,0,yellow
12603,56,1,32,4,56,0,yellow
12604,48,1,27,0,48,0,yellow
12605,165,5,6,10,165,1,red
12606,30,1,16,0,30,0,yellow
12607,57,1,23,0,57,0,yellow
12608,34,1,34,2,29,0,yellow
12609,44,1,44,0,32,0,yellow
12610,79,1,15,1,79,0,yellow
12611,39,1,39,1,12,0,yellow
12612,57,1,38,1,57,0,yellow
12613,56,1,56,1,49,0,yellow
12614,85,2,10,19,85,0,yellow
12615,65,2,14,23,65,0,yellow
12616,52,1,46,4,52,0,yellow
12617,206,5,206,5,150,1,red
12618,50,0,23,0,50,0,yellow
12619,37,1,37,3,19,0,yellow
12620,39,1,39,1,14,0,yellow
12621,49,1,49,1,37,0,yellow
12622,86,1,86,1,67,0,yellow
12623,200,4,200,2,164,1,red
12624,68,1,38,1,68,0,yellow
12625,55,1,24,4,55,0,yellow
12626,36,1,17,2,36,0,yellow
12627,54,1,22,3,54,0,yellow
12628,177,4,153,1,177,1,red
12629,53,0,29,0,53,0,yellow
12630,34,1,32,1,34,0,yellow
12631,103,2,69,0,103,1,red
12632,36,1,36,0,17,0,yellow
12633,77,2,17,21,77,0,yellow
12634,177,4,7,22,177,1,red
12635,84,2,15,6,84,0,yellow
12636,59,1,34,1,59,0,yellow
12637,174,1,40,0,174,1,red
12638,65,1,30,5,65,0,yellow
12639,25,0,25,0,9,0,yellow
12640,29,0,15,0,29,0,yellow
12641,60,2,51,0,60,0,yellow
12642,57,1,25,3,57,0,yellow
12643,58,2,24,12,58,0,yellow
12644,44,1,33,0,44,0,yellow
12645,164,4,32,5,164,1,red
12646,34,0,34,1,33,0,yellow
12647,63,1,15,5,63,0,yellow
12648,108,4,10,12,108,0,yellow
12649,62,1,17,7,62,0,yellow
12650,83,1,33,0,83,0,yellow
12651,68,2,12,0,68,0,yellow
12652,53,1,27,5,53,0,yellow
12653,38,1,5,4,38,0,yellow
12654,172,0,30,0,172,1,red
12655,75,1,42,1,75,0,yellow
12656,22,0,22,0,17,0,yellow
12657,81,2,17,2,81,0,yellow
12658,47,1,13,1,47,0,yellow
12659,116,3,116,1,104,1,red
12660,23,1,23,0,14,0,yellow
12661,74,3,3,7,74,0,yellow
12662,45,1,32,2,45,0,yellow
12663,34,0,24,2,34,0,yellow
12664,35,0,27,2,35,0,yellow
12665,168,1,55,0,168,1,red
12666,151,0,36,0,151,1,red
12667,41,1,27,0,41,0,yellow
12668,74,1,35,0,74,0,yellow
12669,469,1,38,1,382,2,black
12670,62,2,17,15,62,0,yellow
12671,115,4,1,11,115,1,red
12672,50,1,50,0,14,0,yellow
12673,56,1,9,3,56,0,yellow
12674,24,0,24,0,11,0,yellow
12675,59,2,20,8,59,0,yellow
12676,30,0,25,2,30,0,yellow
12677,62,1,37,2,62,0,yellow
12678,45,1,27,0,45,0,yellow
12679,271,1,46,1,271,1,red
12680,52,1,35,2,52,0,yellow
12681,46,0,29,0,46,0,yellow
12682,57,0,22,0,57,0,yellow
12683,53,1,27,0,53,0,yellow
12684,100,0,25,0,100,0,yellow
12685,56,1,32,2,56,0,yellow
12686,23,0,23,0,9,0,yellow
12687,37,0,30,1,37,0,yellow
12688,61,1,16,0,61,0,yellow
12689,15,0,15,1,5,0,yellow
12690,55,1,27,2,55,0,yellow
12691,151,2,9,12,151,1,red
12692,54,1,27,0,54,0,yellow
12693,45,1,10,3,45,0,yellow
12694,42,1,6,3,42,0,yellow
12695,62,2,0,6,62,0,yellow
12696,28,0,17,0,28,0,yellow
12697,20,0,20,0,11,0,yellow
12698,56,1,6,14,56,0,yellow
12699,52,1,7,13,52,0,yellow
12700,72,2,9,13,72,0,yellow
12701,131,6,14,6,131,1,red
12702,24,0,24,2,19,0,yellow
12703,39,1,23,0,39,0,yellow
12704,71,1,71,2,33,0,yellow
12705,158,2,158,2,84,1,red
12706,49,1,11,0,49,0,yellow
12707,27,1,27,2,13,0,yellow
12708,37,1,37,0,29,0,yellow
12709,47,1,23,2,47,0,yellow
12710,40,1,40,1,38,0,yellow
12711,40,1,40,0,16,0,yellow
12712,162,3,162,2,113,1,red
12713,34,0,34,1,28,0,yellow
12714,36,1,36,0,20,0,yellow
12715,44,1,33,1,44,0,yellow
12716,34,0,34,1,27,0,yellow
12717,14,1,9,0,14,0,yellow
12718,26,0,13,0,26,0,yellow
12719,19,0,9,1,19,0,yellow
12720,63,1,35,0,63,0,yellow
12721,56,1,56,1,50,0,yellow
12722,42,1,10,2,42,0,yellow
12723,58,1,38,0,58,0,yellow
12724,37,1,22,7,37,0,yellow
12725,70,1,35,5,70,0,yellow
12726,33,0,33,0,10,0,yellow
12727,215,13,3,13,215,1,red
12728,39,1,15,2,39,0,yellow
12729,48,1,27,3,48,0,yellow
12730,149,3,4,7,149,1,red
