,Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,clusters
6689,United States of America,Azle,55,Moderate,1,Good,18,Good,5,Good,55,Moderate,0
6690,Germany,Bad Zwischenahn,33,Good,0,Good,33,Good,1,Good,26,Good,0
6691,Azerbaijan,Badamdar,44,Good,1,Good,36,Good,0,Good,44,Good,0
6692,Austria,Baden,58,Moderate,1,Good,31,Good,2,Good,58,Moderate,0
6693,Italy,Bagnolo Mella,67,Moderate,1,Good,37,Good,3,Good,67,Moderate,0
6694,Russian Federation,Bakal,35,Good,1,Good,35,Good,0,Good,28,Good,0
6695,Russian Federation,Balabanovo,37,Good,1,Good,37,Good,0,Good,20,Good,0
6696,Thailand,Ban Mo,50,Good,0,Good,28,Good,0,Good,50,Good,0
6697,Libya,Bani Walid,121,Unhealthy for Sensitive Groups,1,Good,49,Good,1,Good,121,Unhealthy for Sensitive Groups,2
6698,Philippines,Bani,52,Moderate,0,Good,26,Good,0,Good,52,Moderate,0
6699,Bangladesh,Baniachang,109,Unhealthy for Sensitive Groups,3,Good,66,Moderate,2,Good,109,Unhealthy for Sensitive Groups,2
6700,China,Baoning,153,Unhealthy,4,Good,146,Unhealthy for Sensitive Groups,3,Good,153,Unhealthy,2
6701,India,Bari,195,Unhealthy,1,Good,45,Good,0,Good,195,Unhealthy,2
6702,India,Basudebpur,166,Unhealthy,1,Good,73,Moderate,1,Good,166,Unhealthy,2
6703,Canada,Bay Roberts,25,Good,1,Good,25,Good,0,Good,15,Good,0
6704,Switzerland,Aarau,103,Unhealthy for Sensitive Groups,1,Good,27,Good,2,Good,103,Unhealthy for Sensitive Groups,0
6705,Côte d'Ivoire,Abengourou,64,Moderate,2,Good,18,Good,0,Good,64,Moderate,0
6706,China,Acheng,92,Moderate,2,Good,54,Moderate,3,Good,92,Moderate,0
6707,Côte d'Ivoire,Adzope,75,Moderate,3,Good,15,Good,1,Good,75,Moderate,0
6708,Niger,Aguie,69,Moderate,2,Good,25,Good,2,Good,69,Moderate,0
6709,Mexico,Ajijic,48,Good,1,Good,11,Good,3,Good,48,Good,0
6710,India,Akbarpur,224,Very Unhealthy,2,Good,85,Moderate,1,Good,224,Very Unhealthy,2
6711,Russian Federation,Aksay,38,Good,1,Good,38,Good,2,Good,15,Good,0
6712,India,Alapur,167,Unhealthy,3,Good,164,Unhealthy,3,Good,167,Unhealthy,2
6713,Spain,Alboraya,30,Good,1,Good,30,Good,2,Good,26,Good,0
6714,China,Alihe,42,Good,1,Good,32,Good,0,Good,42,Good,0
6715,Spain,Almunecar,30,Good,1,Good,22,Good,3,Good,30,Good,0
6716,Germany,Altenstadt,51,Moderate,1,Good,26,Good,3,Good,51,Moderate,0
6717,India,Amalapuram,121,Unhealthy for Sensitive Groups,1,Good,22,Good,3,Good,121,Unhealthy for Sensitive Groups,2
6718,India,Amanganj,199,Unhealthy,1,Good,43,Good,0,Good,199,Unhealthy,2
6719,India,Ambur,60,Moderate,0,Good,26,Good,0,Good,60,Moderate,0
6720,United States of America,Amesbury,29,Good,1,Good,29,Good,5,Good,27,Good,0
6721,India,Anantnag,99,Moderate,1,Good,47,Good,0,Good,99,Moderate,0
6722,Uzbekistan,Andijon,118,Unhealthy for Sensitive Groups,1,Good,95,Moderate,1,Good,118,Unhealthy for Sensitive Groups,2
6723,Andorra,Andorra La Vella,27,Good,1,Good,27,Good,0,Good,20,Good,0
6724,Italy,Andria,39,Good,2,Good,36,Good,6,Good,39,Good,0
6725,China,Angangxi,79,Moderate,2,Good,60,Moderate,1,Good,79,Moderate,0
6726,Germany,Anrochte,48,Good,0,Good,31,Good,2,Good,48,Good,0
6727,Madagascar,Antananarivo,28,Good,1,Good,22,Good,0,Good,28,Good,0
6728,El Salvador,Antiguo Cuscatlan,103,Unhealthy for Sensitive Groups,2,Good,22,Good,9,Good,103,Unhealthy for Sensitive Groups,0
6729,Philippines,Anuling,59,Moderate,1,Good,13,Good,0,Good,59,Moderate,0
6730,Serbia,Apatin,69,Moderate,1,Good,39,Good,1,Good,69,Moderate,0
6731,El Salvador,Apopa,115,Unhealthy for Sensitive Groups,3,Good,14,Good,12,Good,115,Unhealthy for Sensitive Groups,2
6732,Brazil,Aquidauana,16,Good,1,Good,12,Good,0,Good,16,Good,0
6733,France,Arles,60,Moderate,1,Good,31,Good,3,Good,60,Moderate,0
6734,India,Atmakur,57,Moderate,0,Good,29,Good,0,Good,57,Moderate,0
6735,Italy,Atripalda,43,Good,2,Good,43,Good,4,Good,41,Good,0
6736,United States of America,Auburn,57,Moderate,2,Good,12,Good,7,Good,57,Moderate,0
6737,France,Avignon,66,Moderate,1,Good,31,Good,3,Good,66,Moderate,0
6738,United States of America,Avocado Heights,120,Unhealthy for Sensitive Groups,4,Good,12,Good,35,Good,120,Unhealthy for Sensitive Groups,2
6739,Italy,Avola,39,Good,1,Good,29,Good,3,Good,39,Good,0
6740,Peru,Ayaviri,25,Good,0,Good,3,Good,2,Good,25,Good,0
6741,Malaysia,Ayer Tawar,88,Moderate,2,Good,66,Moderate,1,Good,88,Moderate,0
6742,Germany,Bad Rappenau,50,Good,1,Good,28,Good,3,Good,50,Good,0
6743,India,Bagula,159,Unhealthy,5,Good,95,Moderate,4,Good,159,Unhealthy,2
6744,United Kingdom of Great Britain and Northern Ireland,Sheffield,31,Good,0,Good,30,Good,3,Good,31,Good,0
6745,Japan,Shobara,44,Good,1,Good,44,Good,0,Good,33,Good,0
6746,Philippines,Sibulan,90,Moderate,1,Good,15,Good,0,Good,90,Moderate,0
6747,Switzerland,Sierre,53,Moderate,1,Good,34,Good,0,Good,53,Moderate,0
6748,India,Sihor,152,Unhealthy,0,Good,31,Good,0,Good,152,Unhealthy,2
6749,India,Sikandra,242,Very Unhealthy,1,Good,73,Moderate,1,Good,242,Very Unhealthy,2
6750,Indonesia,Singojuruh,39,Good,1,Good,25,Good,0,Good,39,Good,0
6751,United States of America,Sioux City,53,Moderate,1,Good,18,Good,9,Good,53,Moderate,0
6752,India,Sivakasi,53,Moderate,0,Good,27,Good,0,Good,53,Moderate,0
6753,Russian Federation,Skalistyy,29,Good,1,Good,29,Good,0,Good,8,Good,0
6754,Poland,Slupca,39,Good,0,Good,31,Good,1,Good,39,Good,0
6755,Slovakia,Snina,68,Moderate,1,Good,39,Good,0,Good,68,Moderate,0
6756,Italy,Solaro,54,Moderate,1,Good,36,Good,2,Good,54,Moderate,0
6757,Russian Federation,Bryukhovetskaya,40,Good,1,Good,40,Good,1,Good,38,Good,0
6758,Brazil,Buerarema,43,Good,1,Good,7,Good,3,Good,43,Good,0
6759,Brazil,Cacequi,24,Good,0,Good,24,Good,0,Good,9,Good,0
6760,France,Calais,31,Good,0,Good,31,Good,1,Good,28,Good,0
6761,Italy,Campodarsego,75,Moderate,2,Good,19,Good,9,Good,75,Moderate,0
6762,India,Behat,176,Unhealthy,3,Good,176,Unhealthy,1,Good,107,Unhealthy for Sensitive Groups,2
6763,India,Bela,305,Hazardous,1,Good,48,Good,1,Good,280,Very Unhealthy,1
6764,Russian Federation,Belaya Glina,41,Good,1,Good,41,Good,0,Good,24,Good,0
6765,Russian Federation,Belebey,29,Good,1,Good,29,Good,0,Good,19,Good,0
6766,Serbia,Belgrade,101,Unhealthy for Sensitive Groups,1,Good,36,Good,4,Good,101,Unhealthy for Sensitive Groups,0
6767,United States of America,Beltsville,54,Moderate,1,Good,32,Good,5,Good,54,Moderate,0
6768,United States of America,Benbrook,51,Moderate,1,Good,19,Good,4,Good,51,Moderate,0
6769,Czechia,Benesov,57,Moderate,1,Good,23,Good,5,Good,57,Moderate,0
6770,Mexico,Benito Juarez,109,Unhealthy for Sensitive Groups,4,Good,6,Good,9,Good,109,Unhealthy for Sensitive Groups,2
6771,Bulgaria,Berkovica,78,Moderate,1,Good,36,Good,2,Good,78,Moderate,0
6772,El Salvador,Berlin,69,Moderate,2,Good,8,Good,15,Good,69,Moderate,0
6773,Germany,Bielefeld,32,Good,0,Good,28,Good,1,Good,32,Good,0
6774,India,Bilaua,190,Unhealthy,1,Good,38,Good,0,Good,190,Unhealthy,2
6775,Philippines,Binangonan,52,Moderate,1,Good,25,Good,1,Good,52,Moderate,0
6776,Czechia,Pribram,53,Moderate,1,Good,32,Good,3,Good,53,Moderate,0
6777,Lithuania,Prienai,35,Good,0,Good,34,Good,0,Good,35,Good,0
6778,Tajikistan,Proletarsk,135,Unhealthy for Sensitive Groups,1,Good,48,Good,0,Good,135,Unhealthy for Sensitive Groups,2
6779,Brazil,Propria,29,Good,0,Good,14,Good,2,Good,29,Good,0
6780,United States of America,Providence,34,Good,1,Good,24,Good,7,Good,34,Good,0
6781,Spain,Puerto De La Cruz,36,Good,1,Good,36,Good,0,Good,6,Good,0
6782,Peru,Querecotillo,50,Good,0,Good,20,Good,0,Good,50,Good,0
6783,China,Qufu,200,Unhealthy,5,Good,200,Unhealthy,6,Good,151,Unhealthy,2
6784,Italy,Racalmuto,53,Moderate,1,Good,34,Good,4,Good,53,Moderate,0
6785,Viet Nam,Rach Gia,57,Moderate,1,Good,31,Good,1,Good,57,Moderate,0
6786,Tunisia,Radis,63,Moderate,1,Good,55,Moderate,2,Good,63,Moderate,0
6787,Czechia,Rakovnik,60,Moderate,1,Good,33,Good,4,Good,60,Moderate,0
6788,India,Ramachandrapuram,140,Unhealthy for Sensitive Groups,1,Good,22,Good,3,Good,140,Unhealthy for Sensitive Groups,2
6789,Philippines,Ramos,141,Unhealthy for Sensitive Groups,1,Good,32,Good,1,Good,141,Unhealthy for Sensitive Groups,2
6790,United States of America,Rancho Mirage,46,Good,1,Good,36,Good,3,Good,46,Good,0
6791,India,Ratanpur,188,Unhealthy,1,Good,64,Moderate,2,Good,188,Unhealthy,2
6792,Brazil,Registro,53,Moderate,1,Good,9,Good,2,Good,53,Moderate,0
6793,United States of America,Rialto,82,Moderate,3,Good,10,Good,22,Good,82,Moderate,0
6794,United States of America,Ridgefield Park,74,Moderate,2,Good,15,Good,21,Good,74,Moderate,0
6795,Netherlands,Rijswijk,35,Good,0,Good,35,Good,2,Good,31,Good,0
6796,Brazil,Rio Grande Da Serra,153,Unhealthy,4,Good,2,Good,19,Good,153,Unhealthy,2
6797,United States of America,Rohnert Park,30,Good,1,Good,26,Good,5,Good,30,Good,0
6798,Italy,Rosignano Marittimo,40,Good,1,Good,40,Good,2,Good,18,Good,0
6799,France,Rueil Malmaison,63,Moderate,1,Good,18,Good,7,Good,63,Moderate,0
6800,Russian Federation,Ruza,30,Good,1,Good,30,Good,0,Good,13,Good,0
6801,Georgia,Sagarejo,36,Good,1,Good,34,Good,0,Good,36,Good,0
6802,France,Saint Pol Sur Mer,44,Good,1,Good,33,Good,1,Good,44,Good,0
6803,Thailand,Sakhon Nakhon,50,Good,0,Good,29,Good,0,Good,50,Good,0
6804,Jordan,Sakib,77,Moderate,1,Good,49,Good,3,Good,77,Moderate,0
6805,Japan,Saku,42,Good,1,Good,42,Good,0,Good,15,Good,0
6806,United States of America,Salem,29,Good,1,Good,27,Good,6,Good,29,Good,0
6807,Brazil,Salto De Pirapora,77,Moderate,2,Good,8,Good,6,Good,77,Moderate,0
6808,Zambia,Samfya,40,Good,0,Good,19,Good,0,Good,40,Good,0
6809,India,Samrala,151,Unhealthy,2,Good,151,Unhealthy,1,Good,137,Unhealthy for Sensitive Groups,2
6810,Mexico,San Antonio La Isla,131,Unhealthy for Sensitive Groups,3,Good,9,Good,12,Good,131,Unhealthy for Sensitive Groups,2
6811,United States of America,San Carlos,70,Moderate,1,Good,13,Good,18,Good,70,Moderate,0
6812,Italy,San Ferdinando Di Puglia,40,Good,2,Good,37,Good,6,Good,40,Good,0
6813,Colombia,San Juan Del Cesar,52,Moderate,1,Good,10,Good,1,Good,52,Moderate,0
6814,India,Sangareddi,78,Moderate,1,Good,28,Good,0,Good,78,Moderate,0
6815,Brazil,Santa Cruz Das Palmeiras,56,Moderate,1,Good,8,Good,3,Good,56,Moderate,0
6816,Colombia,Santa Rosa De Cabal,85,Moderate,2,Good,3,Good,8,Good,85,Moderate,0
6817,Brazil,Sao Bento Do Sul,40,Good,1,Good,16,Good,1,Good,40,Good,0
6818,Brazil,Sao Caitano,35,Good,0,Good,14,Good,2,Good,35,Good,0
6819,Brazil,Sao Luis Do Quitunde,25,Good,0,Good,20,Good,1,Good,25,Good,0
6820,Brazil,Sao Mateus,26,Good,0,Good,19,Good,0,Good,26,Good,0
6821,Russian Federation,Sarapul,46,Good,1,Good,24,Good,2,Good,46,Good,0
6822,Ukraine,Sarny,92,Moderate,1,Good,36,Good,0,Good,92,Moderate,0
6823,Romania,Sascut,56,Moderate,1,Good,37,Good,0,Good,56,Moderate,0
6824,Japan,Sasebo,46,Good,1,Good,46,Good,0,Good,35,Good,0
6825,Italy,Sava,49,Good,1,Good,49,Good,3,Good,28,Good,0
6826,Netherlands,Schinnen,42,Good,1,Good,25,Good,4,Good,42,Good,0
6827,Germany,Schortens,36,Good,0,Good,36,Good,0,Good,33,Good,0
6828,Italy,Scicli,51,Moderate,1,Good,24,Good,5,Good,51,Moderate,0
6829,Belgium,Seneffe,50,Good,1,Good,23,Good,5,Good,50,Good,0
6830,Pakistan,Shabqadar,73,Moderate,1,Good,58,Moderate,0,Good,73,Moderate,0
6831,China,Shahe,202,Very Unhealthy,8,Good,202,Very Unhealthy,12,Good,180,Unhealthy,2
6832,India,Shahgarh,188,Unhealthy,1,Good,40,Good,0,Good,188,Unhealthy,2
6833,India,Shahkot,149,Unhealthy for Sensitive Groups,2,Good,137,Unhealthy for Sensitive Groups,1,Good,149,Unhealthy for Sensitive Groups,2
6834,Iran (Islamic Republic of),Shahreza,113,Unhealthy for Sensitive Groups,1,Good,48,Good,0,Good,113,Unhealthy for Sensitive Groups,2
6835,China,Shangzhi,54,Moderate,1,Good,44,Good,0,Good,54,Moderate,0
6836,United Kingdom of Great Britain and Northern Ireland,Morley,25,Good,1,Good,25,Good,3,Good,25,Good,0
6837,Russian Federation,Mostovskoy,42,Good,1,Good,42,Good,0,Good,37,Good,0
6838,United States of America,Mount Holly,50,Good,1,Good,31,Good,7,Good,50,Good,0
6839,United States of America,Mountain View,63,Moderate,1,Good,30,Good,11,Good,63,Moderate,0
6840,Zambia,Mpika,33,Good,0,Good,18,Good,0,Good,33,Good,0
6841,United Republic of Tanzania,Mto Wa Mbu,24,Good,0,Good,11,Good,0,Good,24,Good,0
6842,Turkey,Mugla,48,Good,1,Good,48,Good,2,Good,41,Good,0
6843,Kenya,Muhoroni,150,Unhealthy,5,Good,13,Good,4,Good,150,Unhealthy,2
6844,Germany,Munich,45,Good,1,Good,25,Good,3,Good,45,Good,0
6845,Russian Federation,Muravlenko,57,Moderate,1,Good,24,Good,0,Good,57,Moderate,0
6846,United Republic of Tanzania,Mwanza,24,Good,0,Good,14,Good,0,Good,24,Good,0
6847,Thailand,Nakhon Thai,69,Moderate,0,Good,23,Good,0,Good,69,Moderate,0
6848,Poland,Namyslow,39,Good,1,Good,22,Good,3,Good,39,Good,0
6849,China,Nanzhang,120,Unhealthy for Sensitive Groups,2,Good,120,Unhealthy for Sensitive Groups,1,Good,78,Moderate,2
6850,India,Naraini,185,Unhealthy,1,Good,42,Good,0,Good,185,Unhealthy,2
6851,Japan,Narashino,81,Moderate,1,Good,81,Moderate,1,Good,37,Good,0
6852,Kenya,Narok,21,Good,0,Good,18,Good,0,Good,21,Good,0
6853,India,Nasrullaganj,150,Unhealthy,1,Good,32,Good,0,Good,150,Unhealthy,2
6854,Philippines,Naval,60,Moderate,1,Good,28,Good,0,Good,60,Moderate,0
6855,India,Nawalgarh,500,Hazardous,1,Good,33,Good,0,Good,412,Hazardous,1
6856,Ethiopia,Nedjo,85,Moderate,1,Good,19,Good,0,Good,85,Moderate,0
6857,India,Nedumangad,60,Moderate,1,Good,27,Good,0,Good,60,Moderate,0
6858,Russian Federation,Neftekumsk,36,Good,1,Good,36,Good,0,Good,24,Good,0
6859,France,Nemours,30,Good,1,Good,26,Good,2,Good,30,Good,0
6860,Spain,Nerja,39,Good,1,Good,18,Good,4,Good,39,Good,0
6861,Ukraine,Netishyn,60,Moderate,1,Good,24,Good,1,Good,60,Moderate,0
6862,Philippines,New Corella,61,Moderate,1,Good,19,Good,0,Good,61,Moderate,0
6863,United States of America,New Rochelle,64,Moderate,1,Good,26,Good,13,Good,64,Moderate,0
6864,Malaysia,Nilai,67,Moderate,1,Good,39,Good,1,Good,67,Moderate,0
6865,Brazil,Nossa Senhora Do Socorro,30,Good,0,Good,18,Good,1,Good,30,Good,0
6866,Brazil,Nova Londrina,14,Good,1,Good,9,Good,0,Good,14,Good,0
6867,Russian Federation,Novoorsk,41,Good,1,Good,41,Good,0,Good,16,Good,0
6868,Russian Federation,Novopokrovskaya,39,Good,1,Good,39,Good,0,Good,27,Good,0
6869,India,Nuh,500,Hazardous,1,Good,44,Good,1,Good,420,Hazardous,1
6870,Turkey,Nusaybin,88,Moderate,1,Good,34,Good,3,Good,88,Moderate,0
6871,United Republic of Tanzania,Nyakabindi,20,Good,0,Good,13,Good,0,Good,20,Good,0
6872,Sweden,Nykoping,34,Good,1,Good,34,Good,0,Good,9,Good,0
6873,United States of America,Oakland Park,48,Good,1,Good,15,Good,10,Good,48,Good,0
6874,Germany,Obertshausen,29,Good,0,Good,29,Good,2,Good,27,Good,0
6875,Republic of Moldova,Ocnita,64,Moderate,1,Good,41,Good,0,Good,64,Moderate,0
6876,United States of America,Old Bridge,54,Moderate,1,Good,28,Good,9,Good,54,Moderate,0
6877,India,Mariani,70,Moderate,2,Good,18,Good,4,Good,70,Moderate,0
6878,Italy,Marino,47,Good,1,Good,43,Good,4,Good,47,Good,0
6879,France,Marmande,38,Good,1,Good,29,Good,1,Good,38,Good,0
6880,Madagascar,Marolambo,22,Good,0,Good,22,Good,0,Good,13,Good,0
6881,Germany,Marpingen,29,Good,0,Good,29,Good,1,Good,22,Good,0
6882,Spain,Martorell,36,Good,1,Good,25,Good,4,Good,36,Good,0
6883,Japan,Matsubara,47,Good,1,Good,47,Good,0,Good,22,Good,0
6884,United States of America,Mays Chapel,52,Moderate,1,Good,34,Good,4,Good,52,Moderate,0
6885,Democratic Republic of the Congo,Mbandaka,99,Moderate,3,Good,11,Good,0,Good,99,Moderate,0
6886,Germany,Melle,30,Good,0,Good,30,Good,1,Good,26,Good,0
6887,United States of America,Miami,55,Moderate,1,Good,14,Good,11,Good,55,Moderate,0
6888,Philippines,Minglanilla,65,Moderate,1,Good,22,Good,0,Good,65,Moderate,0
6889,Hungary,Miskolc,57,Moderate,1,Good,35,Good,1,Good,57,Moderate,0
6890,Japan,Mitaka,73,Moderate,1,Good,73,Moderate,3,Good,50,Good,0
6891,Romania,Mizil,70,Moderate,2,Good,27,Good,5,Good,70,Moderate,0
6892,Serbia,Mladenovac,79,Moderate,1,Good,38,Good,2,Good,79,Moderate,0
6893,Peru,Mollendo,21,Good,0,Good,21,Good,0,Good,15,Good,0
6894,Spain,Mollet Del Valles,51,Moderate,1,Good,16,Good,11,Good,51,Moderate,0
6895,France,Mondeville,33,Good,1,Good,28,Good,3,Good,33,Good,0
6896,Brazil,Monte Alegre De Minas,43,Good,1,Good,11,Good,2,Good,43,Good,0
6897,Brazil,Monte Mor,156,Unhealthy,5,Good,1,Good,12,Good,156,Unhealthy,2
6898,United States of America,Monterey Park,127,Unhealthy for Sensitive Groups,4,Good,4,Good,37,Good,127,Unhealthy for Sensitive Groups,2
6899,China,Laiwu,140,Unhealthy for Sensitive Groups,2,Good,140,Unhealthy for Sensitive Groups,2,Good,81,Moderate,2
6900,United States of America,Lake Elsinore,56,Moderate,2,Good,19,Good,13,Good,56,Moderate,0
6901,Germany,Lappersdorf,46,Good,1,Good,26,Good,3,Good,46,Good,0
6902,France,Le Robert,106,Unhealthy for Sensitive Groups,0,Good,24,Good,0,Good,106,Unhealthy for Sensitive Groups,2
6903,Italy,Lecce,69,Moderate,1,Good,58,Moderate,2,Good,69,Moderate,0
6904,Germany,Leinefelde,35,Good,0,Good,29,Good,1,Good,35,Good,0
6905,Haiti,Leogane,86,Moderate,2,Good,23,Good,4,Good,86,Moderate,0
6906,Brazil,Leopoldina,71,Moderate,2,Good,0,Good,6,Good,71,Moderate,0
6907,China,Liaocheng,184,Unhealthy,7,Good,147,Unhealthy for Sensitive Groups,18,Good,184,Unhealthy,2
6908,Gabon,Libreville,131,Unhealthy for Sensitive Groups,1,Good,27,Good,1,Good,131,Unhealthy for Sensitive Groups,2
6909,Ireland,Limerick,23,Good,1,Good,23,Good,3,Good,17,Good,0
6910,Austria,Linz,57,Moderate,1,Good,33,Good,1,Good,57,Moderate,0
6911,China,Longfeng,92,Moderate,2,Good,92,Moderate,1,Good,84,Moderate,0
6912,United States of America,Longmeadow,51,Moderate,1,Good,32,Good,5,Good,51,Moderate,0
6913,Brazil,Lorena,84,Moderate,3,Good,1,Good,7,Good,84,Moderate,0
6914,Germany,Lorsch,28,Good,1,Good,28,Good,2,Good,28,Good,0
6915,Poland,Luban,35,Good,1,Good,25,Good,2,Good,35,Good,0
6916,India,Madhubani,172,Unhealthy,3,Good,121,Unhealthy for Sensitive Groups,1,Good,172,Unhealthy,2
6917,Nigeria,Maiduguri,95,Moderate,3,Good,18,Good,2,Good,95,Moderate,0
6918,Spain,Majadahonda,51,Moderate,1,Good,12,Good,8,Good,51,Moderate,0
6919,Kenya,Makueni,159,Unhealthy,6,Good,12,Good,3,Good,159,Unhealthy,2
6920,Uruguay,Maldonado,26,Good,0,Good,26,Good,0,Good,21,Good,0
6921,Philippines,Mandaue,66,Moderate,1,Good,23,Good,0,Good,66,Moderate,0
6922,Kenya,Mandera,37,Good,0,Good,17,Good,0,Good,37,Good,0
6923,India,Mandla,156,Unhealthy,1,Good,35,Good,0,Good,156,Unhealthy,2
6924,Mexico,Maneadero,30,Good,1,Good,30,Good,4,Good,14,Good,0
6925,Romania,Mangalia,41,Good,1,Good,41,Good,0,Good,25,Good,0
6926,India,Manihari,188,Unhealthy,3,Good,153,Unhealthy,1,Good,188,Unhealthy,2
6927,Spain,Manlleu,27,Good,1,Good,27,Good,1,Good,24,Good,0
6928,Brazil,Marataizes,36,Good,1,Good,12,Good,2,Good,36,Good,0
6929,Germany,Marburg,30,Good,0,Good,29,Good,1,Good,30,Good,0
6930,Peru,Marcona,23,Good,0,Good,23,Good,0,Good,17,Good,0
6931,Mexico,Marfil,55,Moderate,1,Good,17,Good,4,Good,55,Moderate,0
6932,Netherlands,Margraten,32,Good,1,Good,25,Good,3,Good,32,Good,0
6933,India,Khatra,184,Unhealthy,1,Good,82,Moderate,1,Good,184,Unhealthy,2
6934,Sweden,Kinna,37,Good,1,Good,37,Good,2,Good,29,Good,0
6935,Germany,Kirchhundem,29,Good,0,Good,28,Good,1,Good,29,Good,0
6936,United States of America,Kirksville,61,Moderate,2,Good,24,Good,6,Good,61,Moderate,0
6937,Japan,Kisarazu,64,Moderate,1,Good,64,Moderate,2,Good,34,Good,0
6938,United States of America,Kittery,47,Good,1,Good,43,Good,3,Good,47,Good,0
6939,Poland,Kluczbork,51,Moderate,1,Good,18,Good,6,Good,51,Moderate,0
6940,India,Kodumudi,71,Moderate,1,Good,30,Good,0,Good,71,Moderate,0
6941,Russian Federation,Kolpashevo,39,Good,1,Good,39,Good,0,Good,11,Good,0
6942,Russian Federation,Kolyvan,38,Good,1,Good,38,Good,2,Good,38,Good,0
6943,Japan,Komono,53,Moderate,1,Good,53,Moderate,0,Good,22,Good,0
6944,Japan,Konan,50,Good,1,Good,50,Good,1,Good,21,Good,0
6945,Germany,Konigstein,29,Good,0,Good,29,Good,2,Good,27,Good,0
6946,Germany,Korbach,32,Good,0,Good,28,Good,1,Good,32,Good,0
6947,Côte d'Ivoire,Korhogo,33,Good,1,Good,12,Good,0,Good,33,Good,0
6948,Thailand,Kosum Phisai,54,Moderate,0,Good,29,Good,0,Good,54,Moderate,0
6949,India,Kot Putli,323,Hazardous,1,Good,39,Good,0,Good,298,Very Unhealthy,1
6950,Finland,Kouvola,31,Good,1,Good,31,Good,2,Good,4,Good,0
6951,Germany,Kreuztal,33,Good,0,Good,26,Good,2,Good,33,Good,0
6952,Poland,Krosno,53,Moderate,1,Good,32,Good,1,Good,53,Moderate,0
6953,Malaysia,Kuala Terengganu,75,Moderate,1,Good,40,Good,0,Good,75,Moderate,0
6954,Japan,Kumagaya,49,Good,1,Good,49,Good,0,Good,16,Good,0
6955,Sweden,Kungsbacka,35,Good,1,Good,35,Good,2,Good,33,Good,0
6956,Jordan,Kuraymah,98,Moderate,1,Good,46,Good,4,Good,98,Moderate,0
6957,Russian Federation,Kurganinsk,47,Good,1,Good,41,Good,1,Good,47,Good,0
6958,Switzerland,La Chaux De Fonds,36,Good,1,Good,24,Good,2,Good,36,Good,0
6959,Spain,La Roda,30,Good,1,Good,29,Good,1,Good,30,Good,0
6960,Dominican Republic,La Vega,150,Unhealthy,2,Good,6,Good,14,Good,150,Unhealthy,2
6961,United Republic of Tanzania,Laela,24,Good,0,Good,16,Good,0,Good,24,Good,0
6962,Finland,Ilmajoki,31,Good,1,Good,31,Good,1,Good,29,Good,0
6963,Turkey,Inegol,27,Good,1,Good,26,Good,2,Good,27,Good,0
6964,Brazil,Ipameri,31,Good,1,Good,7,Good,2,Good,31,Good,0
6965,Brazil,Ipaussu,26,Good,1,Good,14,Good,0,Good,26,Good,0
6966,Brazil,Itapema,55,Moderate,1,Good,5,Good,5,Good,55,Moderate,0
6967,Brazil,Itapetininga,27,Good,1,Good,14,Good,1,Good,27,Good,0
6968,Nigeria,Jalingo,65,Moderate,3,Good,16,Good,0,Good,65,Moderate,0
6969,India,Jambusar,153,Unhealthy,0,Good,31,Good,0,Good,153,Unhealthy,2
6970,India,Jha Jha,184,Unhealthy,1,Good,87,Moderate,1,Good,184,Unhealthy,2
6971,China,Jiaocheng,122,Unhealthy for Sensitive Groups,2,Good,122,Unhealthy for Sensitive Groups,0,Good,98,Moderate,2
6972,China,Jiaozuo,169,Unhealthy,5,Good,169,Unhealthy,11,Good,154,Unhealthy,2
6973,China,Jinchengjiang,55,Moderate,2,Good,51,Moderate,0,Good,55,Moderate,0
6974,Brazil,Jitauna,47,Good,1,Good,3,Good,3,Good,47,Good,0
6975,China,Jixi,45,Good,1,Good,40,Good,0,Good,45,Good,0
6976,United States of America,Joliet,61,Moderate,2,Good,20,Good,12,Good,61,Moderate,0
6977,Iran (Islamic Republic of),Juybar,82,Moderate,1,Good,37,Good,2,Good,82,Moderate,0
6978,Sudan,Kaduqli,45,Good,2,Good,12,Good,0,Good,45,Good,0
6979,Greece,Kaisariani,65,Moderate,2,Good,34,Good,12,Good,65,Moderate,0
6980,Japan,Kakamigahara,49,Good,1,Good,49,Good,1,Good,18,Good,0
6981,Russian Federation,Kalininskaya,55,Moderate,1,Good,30,Good,5,Good,55,Moderate,0
6982,Thailand,Kamalasai,60,Moderate,0,Good,28,Good,0,Good,60,Moderate,0
6983,India,Kanchipuram,59,Moderate,1,Good,28,Good,1,Good,59,Moderate,0
6984,India,Kankavli,89,Moderate,0,Good,21,Good,0,Good,89,Moderate,0
6985,India,Kanke,165,Unhealthy,1,Good,47,Good,0,Good,165,Unhealthy,2
6986,India,Karmala,112,Unhealthy for Sensitive Groups,0,Good,30,Good,0,Good,112,Unhealthy for Sensitive Groups,2
6987,India,Kasganj,500,Hazardous,1,Good,61,Moderate,3,Good,476,Hazardous,1
6988,Japan,Kashiwazaki,40,Good,1,Good,40,Good,0,Good,30,Good,0
6989,Iran (Islamic Republic of),Kazerun,71,Moderate,0,Good,50,Good,0,Good,71,Moderate,0
