,Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,clusters
14311,Czechia,Bilina,79,Moderate,1,Good,32,Good,4,Good,79,Moderate,0
14312,Zimbabwe,Bindura,93,Moderate,5,Good,14,Good,3,Good,93,Moderate,0
14313,Democratic Republic of the Congo,Binga,70,Moderate,2,Good,15,Good,0,Good,70,Moderate,0
14314,Ukraine,Bohuslav,40,Good,1,Good,40,Good,0,Good,17,Good,0
14315,India,Bokaro,156,Unhealthy,3,Good,93,Moderate,2,Good,156,Unhealthy,2
14316,United States of America,Bonita,75,Moderate,2,Good,16,Good,18,Good,75,Moderate,0
14317,Russian Federation,Borovichi,30,Good,1,Good,30,Good,0,Good,16,Good,0
14318,Netherlands,Boskoop,44,Good,1,Good,33,Good,4,Good,44,Good,0
14319,France,Blois,34,Good,1,Good,29,Good,3,Good,34,Good,0
14320,Germany,Boblingen,61,Moderate,1,Good,37,Good,2,Good,61,Moderate,0
14321,Italy,Abano Terme,69,Moderate,1,Good,41,Good,2,Good,69,Moderate,0
14322,Mexico,Abasolo,53,Moderate,1,Good,28,Good,3,Good,53,Moderate,0
14323,Côte d'Ivoire,Adiake,50,Good,1,Good,21,Good,0,Good,50,Good,0
14324,Turkey,Adilcevaz,39,Good,1,Good,33,Good,0,Good,39,Good,0
14325,Ethiopia,Agaro,59,Moderate,1,Good,16,Good,0,Good,59,Moderate,0
14326,Turkey,Ahlat,48,Good,1,Good,39,Good,0,Good,48,Good,0
14327,India,Akividu,116,Unhealthy for Sensitive Groups,2,Good,52,Moderate,1,Good,116,Unhealthy for Sensitive Groups,2
14328,Brazil,Alem Paraiba,61,Moderate,1,Good,10,Good,4,Good,61,Moderate,0
14329,Canada,Amos,66,Moderate,1,Good,19,Good,0,Good,66,Moderate,0
14330,Venezuela (Bolivarian Republic of),Anaco,132,Unhealthy for Sensitive Groups,1,Good,20,Good,1,Good,132,Unhealthy for Sensitive Groups,2
14331,Chile,Angol,28,Good,1,Good,18,Good,3,Good,28,Good,0
14332,Germany,Annaberg Buchholz,66,Moderate,1,Good,39,Good,3,Good,66,Moderate,0
14333,Japan,Annaka,66,Moderate,1,Good,49,Good,1,Good,66,Moderate,0
14334,Italy,Arco,59,Moderate,1,Good,23,Good,4,Good,59,Moderate,0
14335,Brazil,Arinos,40,Good,1,Good,2,Good,2,Good,40,Good,0
14336,United States of America,Arnold,54,Moderate,2,Good,27,Good,10,Good,54,Moderate,0
14337,Ethiopia,Assela,57,Moderate,1,Good,21,Good,0,Good,57,Moderate,0
14338,Belgium,Assenede,57,Moderate,1,Good,37,Good,4,Good,57,Moderate,0
14339,France,Auch,44,Good,1,Good,32,Good,2,Good,44,Good,0
14340,Germany,Bad Munder,71,Moderate,2,Good,30,Good,7,Good,71,Moderate,0
14341,United States of America,Bryant,50,Good,2,Good,32,Good,8,Good,50,Good,0
14342,United Kingdom of Great Britain and Northern Ireland,Buckhaven,27,Good,1,Good,27,Good,1,Good,16,Good,0
14343,United States of America,Buffalo Grove,62,Moderate,2,Good,12,Good,20,Good,62,Moderate,0
14344,Switzerland,Bulach,54,Moderate,1,Good,38,Good,1,Good,54,Moderate,0
14345,Spain,Burgos,49,Good,1,Good,23,Good,1,Good,49,Good,0
14346,Ethiopia,Butajira,64,Moderate,1,Good,18,Good,0,Good,64,Moderate,0
14347,United States of America,Cadillac,54,Moderate,1,Good,31,Good,2,Good,54,Moderate,0
14348,Romania,Calafat,64,Moderate,1,Good,43,Good,1,Good,64,Moderate,0
14349,Spain,Calahorra,58,Moderate,1,Good,17,Good,3,Good,58,Moderate,0
14350,Philippines,Calintaan,32,Good,0,Good,25,Good,0,Good,32,Good,0
14351,Republic of Moldova,Camenca,41,Good,1,Good,41,Good,0,Good,29,Good,0
14352,Brazil,Campina Grande Do Sul,66,Moderate,1,Good,8,Good,5,Good,66,Moderate,0
14353,Italy,Cassino,45,Good,1,Good,40,Good,2,Good,45,Good,0
14354,Italy,Castelvetrano,83,Moderate,1,Good,46,Good,0,Good,83,Moderate,0
14355,Angola,Catabola,27,Good,1,Good,23,Good,0,Good,27,Good,0
14356,United States of America,Cedar Park,50,Good,1,Good,16,Good,3,Good,50,Good,0
14357,Indonesia,Cepu,76,Moderate,2,Good,64,Moderate,1,Good,76,Moderate,0
14358,China,Chaihe,69,Moderate,2,Good,42,Good,1,Good,69,Moderate,0
14359,United States of America,Channahon,66,Moderate,2,Good,23,Good,13,Good,66,Moderate,0
14360,Colombia,Chaparral,29,Good,1,Good,10,Good,1,Good,29,Good,0
14361,Ukraine,Chaplynka,41,Good,1,Good,41,Good,0,Good,6,Good,0
14362,Mexico,Charcas,41,Good,1,Good,23,Good,0,Good,41,Good,0
14363,United States of America,Chesterfield,59,Moderate,2,Good,22,Good,12,Good,59,Moderate,0
14364,India,Chetpet,101,Unhealthy for Sensitive Groups,2,Good,41,Good,2,Good,101,Unhealthy for Sensitive Groups,0
14365,Peru,Chimbote,36,Good,1,Good,22,Good,0,Good,36,Good,0
14366,Indonesia,Cibitung,152,Unhealthy,3,Good,152,Unhealthy,1,Good,111,Unhealthy for Sensitive Groups,2
14367,Indonesia,Cikupa,207,Very Unhealthy,5,Good,207,Very Unhealthy,4,Good,166,Unhealthy,2
14368,Brazil,Capao Da Canoa,57,Moderate,1,Good,16,Good,1,Good,57,Moderate,0
14369,Brazil,Capelinha,31,Good,1,Good,16,Good,0,Good,31,Good,0
14370,Spain,Carlet,26,Good,1,Good,24,Good,1,Good,26,Good,0
14371,United States of America,Carson City,34,Good,1,Good,20,Good,5,Good,34,Good,0
14372,China,Changzhou,164,Unhealthy,5,Good,164,Unhealthy,9,Good,158,Unhealthy,2
14373,Pakistan,Chawinda,152,Unhealthy,3,Good,139,Unhealthy for Sensitive Groups,1,Good,152,Unhealthy,2
14374,Spain,Chiclana,33,Good,1,Good,33,Good,2,Good,33,Good,0
14375,Mexico,Chilapa,30,Good,1,Good,14,Good,2,Good,30,Good,0
14376,Zimbabwe,Chinhoyi,50,Good,2,Good,16,Good,1,Good,50,Good,0
14377,Colombia,Chinu,60,Moderate,2,Good,7,Good,5,Good,60,Moderate,0
14378,China,Chishan,105,Unhealthy for Sensitive Groups,2,Good,105,Unhealthy for Sensitive Groups,3,Good,72,Moderate,0
14379,Pakistan,Chishtian Mandi,190,Unhealthy,2,Good,107,Unhealthy for Sensitive Groups,1,Good,190,Unhealthy,2
14380,Netherlands,Alphen,33,Good,0,Good,33,Good,2,Good,17,Good,0
14381,Indonesia,Amuntai,45,Good,1,Good,15,Good,0,Good,45,Good,0
14382,Spain,Andujar,27,Good,1,Good,27,Good,1,Good,20,Good,0
14383,United States of America,Anoka,51,Moderate,1,Good,40,Good,3,Good,51,Moderate,0
14384,Brazil,Aquiraz,32,Good,0,Good,21,Good,0,Good,32,Good,0
14385,United States of America,Arcadia,114,Unhealthy for Sensitive Groups,4,Good,8,Good,34,Good,114,Unhealthy for Sensitive Groups,2
14386,United States of America,West Hartford,50,Good,1,Good,46,Good,2,Good,50,Good,0
14387,United States of America,West Springfield,49,Good,1,Good,44,Good,1,Good,49,Good,0
14388,United Kingdom of Great Britain and Northern Ireland,Worksop,43,Good,1,Good,35,Good,1,Good,43,Good,0
14389,Germany,Wurselen,55,Moderate,1,Good,42,Good,1,Good,55,Moderate,0
14390,Lao People's Democratic Republic,Xam Nua,36,Good,2,Good,8,Good,1,Good,36,Good,0
14391,China,Xining,156,Unhealthy,4,Good,16,Good,18,Good,156,Unhealthy,2
14392,United States of America,Yakima,31,Good,1,Good,31,Good,1,Good,27,Good,0
14393,Mexico,Yaqui,70,Moderate,1,Good,26,Good,0,Good,70,Moderate,0
14394,Philippines,Bais,83,Moderate,1,Good,14,Good,0,Good,83,Moderate,0
14395,Ireland,Balbriggan,30,Good,1,Good,30,Good,2,Good,20,Good,0
14396,Thailand,Bang Sao Thong,59,Moderate,1,Good,20,Good,1,Good,59,Moderate,0
14397,China,Baoshan,51,Moderate,1,Good,38,Good,0,Good,51,Moderate,0
14398,Hungary,Barcs,65,Moderate,1,Good,31,Good,2,Good,65,Moderate,0
14399,India,Barhi,183,Unhealthy,1,Good,48,Good,0,Good,183,Unhealthy,2
14400,India,Barhiya,162,Unhealthy,4,Good,162,Unhealthy,1,Good,154,Unhealthy,2
14401,United Kingdom of Great Britain and Northern Ireland,Barnsley,56,Moderate,1,Good,12,Good,10,Good,56,Moderate,0
